AnimalName,Symptoms1,Symptoms2,Symptoms3,Symptoms4,Symptoms5,Dangerous
Cat,Panting,Bloody stool,Yes,,,
Dog,Minor diarrhea,Dry eyes,No,,,
Cat,Bloody vomit,Bloody stool,Convulsions,Yes,,
Dog,Fatigue,Tremors,Yes,,,
Cat,Minor weight loss,Occasional hairball vomit,Sneezing,No,,
Cat,Mild conjunctivitis,Minor weight loss,Runny nose,Dry stool,No,
Dog,Loss of appetite,Weight loss,Depression,Blood in vomit,Yes,
Dog,Minor diarrhea,Bad breath,Dry eyes,Joint stiffness,No,
Dog,Blood in vomit,Yes,,,,
Dog,Minor diarrhea,Increased thirst,Joint stiffness,No,,
Cat,Runny nose,Mild conjunctivitis,Occasional hairball vomit,Dry stool,Sneezing,No
Dog,Vomiting,Blood in vomit,Paralysis,Loss of appetite,High glucose,Yes
Dog,Increased thirst,Minor diarrhea,Joint stiffness,Dry eyes,Dry skin,No
Cat,Occasional hairball vomit,No,,,,
Dog,Increased thirst,Dry skin,No,,,
Dog,Minor diarrhea,Increased thirst,Joint stiffness,No,,
Cat,Increased scratching,Runny nose,No,,,
Cat,Bloody stool,Yes,,,,
Dog,Nausea,Yes,,,,
Cat,Dry stool,Occasional hairball vomit,Runny nose,Increased scratching,No,
Cat,Sneezing,No,,,,
Cat,Coughing,Tremors,Yes,,,
Cat,Sneezing,Runny nose,Occasional hairball vomit,Mild conjunctivitis,No,
Dog,Minor diarrhea,No,,,,
Dog,Panting,Excessive thirst,Yes,,,
Dog,Bad breath,No,,,,
Dog,Blood in vomit,Nausea,Panting,Paralysis,Tremors,Yes
Dog,Dry eyes,Bad breath,Dry skin,No,,
Cat,Coughing,Panting,Pale gums,Yes,,
Dog,Seizures,Anxiety,Yes,,,
Cat,Convulsions,Excess drooling,Noisy breathing,Bloody stool,Yes,
Cat,Fast breathing,Convulsions,Bloody vomit,Opaque cornea,Yes,
Cat,Occasional hairball vomit,No,,,,
Cat,Bloody stool,Yes,,,,
Cat,Foam at the mouth,Opaque cornea,Tremors,Yes,,
Cat,Minor weight loss,No,,,,
Cat,Excess drooling,Opaque cornea,Lethargy,Convulsions,Fast breathing,Yes
Dog,Increased thirst,Minor diarrhea,No,,,
Cat,Lethargy,Swollen eyes,Bloody vomit,Panting,Yes,
Cat,Occasional hairball vomit,Dry stool,No,,,
Cat,Bloody stool,Opaque cornea,Excess drooling,Fast breathing,Yes,
Cat,Runny nose,Sneezing,Occasional hairball vomit,Increased scratching,No,
Cat,Increased scratching,Occasional hairball vomit,Runny nose,Mild conjunctivitis,Sneezing,No
Dog,Anxiety,Excessive thirst,Glassy eyes,Tremors,Seizures,Yes
Cat,Increased scratching,No,,,,
Cat,Sneezing,Minor weight loss,Dry stool,No,,
Dog,Weight loss,Tremors,Yes,,,
Dog,Seizures,Disorientation,Depression,Nausea,Excessive thirst,Yes
Dog,Depression,Seizures,Nausea,Fatigue,Yes,
Cat,Runny nose,Increased scratching,Minor weight loss,Occasional hairball vomit,Dry stool,No
Dog,Dry eyes,Bad breath,Minor diarrhea,Increased thirst,Joint stiffness,No
Dog,Minor diarrhea,No,,,,
Dog,Minor diarrhea,No,,,,
Cat,Pale gums,Yes,,,,
Dog,Increased thirst,Bad breath,No,,,
Dog,Drooling,Excessive thirst,Yes,,,
Dog,Dry skin,Dry eyes,No,,,
Dog,Increased thirst,Dry skin,Minor diarrhea,Dry eyes,Joint stiffness,No
Cat,Dry stool,Increased scratching,Minor weight loss,Occasional hairball vomit,Runny nose,No
Cat,Lethargy,Excess drooling,Bloody vomit,Yes,,
Cat,Runny nose,Sneezing,Increased scratching,Dry stool,Occasional hairball vomit,No
Dog,Increased thirst,Joint stiffness,No,,,
Cat,Lethargy,Yes,,,,
Cat,Sneezing,No,,,,
Cat,Fast breathing,Convulsions,Yes,,,
Cat,Occasional hairball vomit,Dry stool,Runny nose,Minor weight loss,Sneezing,No
Cat,Increased scratching,Minor weight loss,Mild conjunctivitis,Dry stool,No,
Cat,Foam at the mouth,Coughing,Excess drooling,Yes,,
Dog,Minor diarrhea,Dry eyes,No,,,
Dog,Dry eyes,No,,,,
Dog,Paralysis,Nausea,Drooling,Yes,,
Cat,Minor weight loss,Increased scratching,Occasional hairball vomit,Runny nose,Sneezing,No
Dog,Dry skin,No,,,,
Dog,Excessive thirst,Yes,,,,
Dog,Increased thirst,Bad breath,Dry eyes,No,,
Cat,Panting,Yes,,,,
Cat,Mild conjunctivitis,Runny nose,Minor weight loss,Occasional hairball vomit,No,
Dog,Dry skin,Dry eyes,Increased thirst,Minor diarrhea,Bad breath,No
Cat,Opaque cornea,Excess drooling,Bloody vomit,Foam at the mouth,Yes,
Cat,Minor weight loss,Runny nose,Occasional hairball vomit,Dry stool,Increased scratching,No
Dog,Dry skin,Joint stiffness,Minor diarrhea,Dry eyes,No,
Cat,Increased scratching,Mild conjunctivitis,Occasional hairball vomit,Dry stool,No,
Cat,Minor weight loss,Sneezing,Runny nose,Increased scratching,No,
Cat,Dry stool,Minor weight loss,Occasional hairball vomit,Increased scratching,No,
Dog,Loss of appetite,Blood in vomit,Disorientation,Glassy eyes,Yes,
Dog,Dry skin,Minor diarrhea,Bad breath,No,,
Cat,Sneezing,Mild conjunctivitis,Occasional hairball vomit,No,,
Dog,Dry eyes,Minor diarrhea,No,,,
Dog,Joint stiffness,Increased thirst,Minor diarrhea,Dry skin,No,
Dog,Glassy eyes,Loss of appetite,Yes,,,
Dog,Bad breath,No,,,,
Dog,Dry skin,No,,,,
Dog,Nausea,Yes,,,,
Dog,Vomiting,Drooling,Yes,,,
Cat,Increased scratching,No,,,,
Cat,Increased scratching,No,,,,
Cat,Coughing,Yes,,,,
Dog,Increased thirst,Dry skin,Dry eyes,No,,
Dog,Glassy eyes,Disorientation,Yes,,,
Cat,Minor weight loss,Runny nose,Mild conjunctivitis,Dry stool,Sneezing,No
Dog,Increased thirst,Joint stiffness,Dry eyes,Minor diarrhea,Dry skin,No
Dog,Panting,Drooling,Weight loss,Disorientation,Yes,
Dog,Tremors,Panting,Loss of appetite,High glucose,Yes,
Dog,Paralysis,Disorientation,Yes,,,
Cat,Occasional hairball vomit,Minor weight loss,Dry stool,No,,
Cat,Opaque cornea,Panting,Yes,,,
Dog,Minor diarrhea,Joint stiffness,No,,,
Cat,Sneezing,Runny nose,Occasional hairball vomit,Mild conjunctivitis,No,
Cat,Increased scratching,No,,,,
Dog,Minor diarrhea,Bad breath,Dry eyes,No,,
Cat,Tremors,Bloody stool,Noisy breathing,Yes,,
Cat,Lethargy,Swollen eyes,Yes,,,
Dog,Weight loss,High glucose,Paralysis,Yes,,
Dog,Bad breath,Increased thirst,Dry skin,No,,
Cat,Minor weight loss,No,,,,
Cat,Increased scratching,Minor weight loss,Runny nose,Sneezing,Dry stool,No
Cat,Runny nose,Sneezing,Dry stool,No,,
Cat,Fast breathing,Excess drooling,Foam at the mouth,Noisy breathing,Tremors,Yes
Dog,Tremors,Glassy eyes,Drooling,Blood in vomit,Yes,
Dog,Excessive thirst,Tremors,Yes,,,
Dog,Glassy eyes,Yes,,,,
Dog,Nausea,Fever,Excessive thirst,Fatigue,Yes,
Cat,Dry stool,Increased scratching,Occasional hairball vomit,No,,
Dog,Dry eyes,Joint stiffness,No,,,
Cat,Sneezing,Runny nose,Minor weight loss,Occasional hairball vomit,No,
Cat,Excess drooling,Bloody stool,Lethargy,Opaque cornea,Swollen eyes,Yes
Cat,Bloody stool,Bloody vomit,Opaque cornea,Pale gums,Yes,
Dog,Panting,Paralysis,Tremors,Yes,,
Cat,Increased scratching,No,,,,
Dog,Dry eyes,Dry skin,No,,,
Dog,Fatigue,Excessive thirst,High glucose,Yes,,
Cat,Sneezing,Runny nose,Mild conjunctivitis,No,,
Cat,Lethargy,Bloody stool,Yes,,,
Dog,Increased thirst,Dry eyes,Dry skin,Minor diarrhea,Bad breath,No
Dog,Excessive thirst,Blood in vomit,Fever,Drooling,Glassy eyes,Yes
Cat,Panting,Tremors,Excess drooling,Fast breathing,Yes,
Dog,Glassy eyes,Anxiety,Fatigue,Vomiting,Yes,
Cat,Runny nose,Mild conjunctivitis,Minor weight loss,No,,
Cat,Minor weight loss,Increased scratching,No,,,
Dog,Increased thirst,No,,,,
Cat,Bloody stool,Swollen eyes,Noisy breathing,Fast breathing,Yes,
Dog,Loss of appetite,Panting,Tremors,Excessive thirst,Drooling,Yes
Cat,Swollen eyes,Convulsions,Panting,Coughing,Yes,
Cat,Bloody vomit,Bloody stool,Swollen eyes,Opaque cornea,Noisy breathing,Yes
Dog,Dry eyes,Bad breath,Minor diarrhea,Joint stiffness,No,
Cat,Bloody vomit,Foam at the mouth,Yes,,,
Dog,Seizures,Fever,Tremors,Nausea,Yes,
Dog,Glassy eyes,Paralysis,Tremors,Weight loss,Depression,Yes
Cat,Noisy breathing,Tremors,Foam at the mouth,Excess drooling,Yes,
Cat,Opaque cornea,Noisy breathing,Lethargy,Bloody vomit,Convulsions,Yes
Cat,Minor weight loss,Mild conjunctivitis,Runny nose,No,,
Dog,Dry eyes,Bad breath,No,,,
Dog,Minor diarrhea,Dry eyes,No,,,
Dog,Drooling,Yes,,,,
Dog,Dry skin,No,,,,
Dog,Depression,Fatigue,Drooling,Fever,Excessive thirst,Yes
Cat,Pale gums,Fast breathing,Yes,,,
Dog,Joint stiffness,No,,,,
Dog,Increased thirst,No,,,,
Dog,Joint stiffness,Increased thirst,Dry eyes,No,,
Cat,Increased scratching,Minor weight loss,No,,,
Dog,Joint stiffness,No,,,,
Cat,Runny nose,Minor weight loss,Mild conjunctivitis,Dry stool,No,
Cat,Runny nose,Increased scratching,Occasional hairball vomit,Dry stool,No,
Cat,Mild conjunctivitis,Minor weight loss,No,,,
Dog,Increased thirst,No,,,,
Cat,Minor weight loss,Runny nose,Mild conjunctivitis,Dry stool,No,
Cat,Occasional hairball vomit,Minor weight loss,Sneezing,Runny nose,No,
Cat,Occasional hairball vomit,Runny nose,No,,,
Dog,Minor diarrhea,Dry eyes,Joint stiffness,Increased thirst,No,
Cat,Increased scratching,No,,,,
Dog,Dry eyes,Increased thirst,Minor diarrhea,No,,
Cat,Panting,Yes,,,,
Cat,Lethargy,Bloody vomit,Yes,,,
Cat,Runny nose,No,,,,
Cat,Opaque cornea,Tremors,Yes,,,
Dog,Dry eyes,Minor diarrhea,No,,,
Cat,Foam at the mouth,Noisy breathing,Yes,,,
Cat,Increased scratching,Mild conjunctivitis,No,,,
Cat,Fast breathing,Noisy breathing,Swollen eyes,Yes,,
Dog,Loss of appetite,Yes,,,,
Cat,Fast breathing,Coughing,Excess drooling,Bloody stool,Panting,Yes
Dog,Disorientation,Drooling,Seizures,Yes,,
Dog,Vomiting,Tremors,Yes,,,
Cat,Lethargy,Tremors,Coughing,Fast breathing,Bloody stool,Yes
Dog,Disorientation,Vomiting,Panting,Yes,,
Dog,Joint stiffness,No,,,,
Dog,Dry eyes,Increased thirst,No,,,
Dog,Bad breath,Dry eyes,No,,,
Dog,Drooling,Seizures,Yes,,,
Cat,Opaque cornea,Lethargy,Coughing,Yes,,
Cat,Mild conjunctivitis,Runny nose,Sneezing,Increased scratching,Minor weight loss,No
Cat,Sneezing,No,,,,
Dog,High glucose,Seizures,Fatigue,Nausea,Fever,Yes
Cat,Fast breathing,Coughing,Yes,,,
Dog,Drooling,Vomiting,Yes,,,
Cat,Minor weight loss,Increased scratching,Mild conjunctivitis,Dry stool,Sneezing,No
Cat,Noisy breathing,Excess drooling,Tremors,Bloody stool,Opaque cornea,Yes
Dog,Nausea,Panting,High glucose,Yes,,
Dog,Nausea,Disorientation,Depression,Yes,,
Dog,Glassy eyes,Fever,Yes,,,
Dog,Dry skin,Increased thirst,No,,,
Dog,Fever,Weight loss,Yes,,,
Dog,Seizures,Glassy eyes,Depression,Yes,,
Dog,Increased thirst,No,,,,
Cat,Mild conjunctivitis,Sneezing,No,,,
Dog,Fatigue,Nausea,Drooling,Disorientation,Fever,Yes
Cat,Panting,Coughing,Opaque cornea,Yes,,
Cat,Fast breathing,Swollen eyes,Panting,Yes,,
Dog,Vomiting,Depression,Weight loss,Yes,,
Cat,Occasional hairball vomit,Increased scratching,Mild conjunctivitis,Minor weight loss,Runny nose,No
Cat,Opaque cornea,Excess drooling,Yes,,,
Cat,Tremors,Swollen eyes,Lethargy,Foam at the mouth,Excess drooling,Yes
Dog,Joint stiffness,Bad breath,Dry eyes,Minor diarrhea,No,
Cat,Tremors,Yes,,,,
Cat,Panting,Yes,,,,
Dog,Joint stiffness,Increased thirst,Dry eyes,Dry skin,No,
Cat,Swollen eyes,Foam at the mouth,Bloody vomit,Lethargy,Yes,
Cat,Dry stool,No,,,,
Dog,Disorientation,Panting,Paralysis,Yes,,
Cat,Tremors,Convulsions,Panting,Foam at the mouth,Opaque cornea,Yes
Dog,Fever,Vomiting,Disorientation,Seizures,Excessive thirst,Yes
Cat,Occasional hairball vomit,Mild conjunctivitis,Dry stool,Increased scratching,Sneezing,No
Dog,Minor diarrhea,Dry eyes,Bad breath,No,,
Dog,Joint stiffness,Bad breath,Increased thirst,Dry skin,Dry eyes,No
Cat,Increased scratching,Occasional hairball vomit,Mild conjunctivitis,Runny nose,Sneezing,No
Dog,Vomiting,High glucose,Tremors,Blood in vomit,Yes,
Dog,Blood in vomit,Tremors,Fatigue,Yes,,
Cat,Tremors,Noisy breathing,Yes,,,
Cat,Bloody vomit,Pale gums,Opaque cornea,Foam at the mouth,Fast breathing,Yes
Dog,Blood in vomit,Vomiting,Yes,,,
Cat,Pale gums,Swollen eyes,Yes,,,
Cat,Occasional hairball vomit,Dry stool,Mild conjunctivitis,Increased scratching,Sneezing,No
Dog,Bad breath,Dry skin,Dry eyes,Increased thirst,No,
Cat,Mild conjunctivitis,Sneezing,Dry stool,No,,
Cat,Increased scratching,Runny nose,Dry stool,Mild conjunctivitis,No,
Dog,Disorientation,Excessive thirst,Glassy eyes,Blood in vomit,Fever,Yes
Cat,Mild conjunctivitis,Sneezing,Occasional hairball vomit,Minor weight loss,No,
Cat,Occasional hairball vomit,Dry stool,Runny nose,Sneezing,Mild conjunctivitis,No
Dog,Dry eyes,Joint stiffness,Bad breath,Increased thirst,No,
Dog,Excessive thirst,Disorientation,Tremors,Glassy eyes,Yes,
Cat,Sneezing,Dry stool,No,,,
Cat,Tremors,Convulsions,Fast breathing,Bloody stool,Yes,
Cat,Foam at the mouth,Opaque cornea,Noisy breathing,Yes,,
Cat,Panting,Bloody vomit,Yes,,,
Cat,Convulsions,Coughing,Yes,,,
Dog,Bad breath,Joint stiffness,Increased thirst,No,,
Dog,Fever,Yes,,,,
Dog,Tremors,Yes,,,,
Dog,Panting,Nausea,Vomiting,Fever,Seizures,Yes
Cat,Noisy breathing,Panting,Fast breathing,Bloody vomit,Swollen eyes,Yes
Dog,Anxiety,Glassy eyes,Loss of appetite,High glucose,Yes,
Dog,Bad breath,Increased thirst,Minor diarrhea,Dry eyes,No,
Dog,Increased thirst,No,,,,
Cat,Foam at the mouth,Bloody stool,Convulsions,Yes,,
Dog,Minor diarrhea,Joint stiffness,Increased thirst,No,,
Dog,Dry eyes,No,,,,
Cat,Occasional hairball vomit,Dry stool,Minor weight loss,Runny nose,Increased scratching,No
Dog,Increased thirst,Joint stiffness,No,,,
Dog,Weight loss,Panting,Disorientation,Nausea,Yes,
Dog,Joint stiffness,Increased thirst,No,,,
Dog,Fever,Disorientation,Vomiting,Nausea,Depression,Yes
Cat,Pale gums,Yes,,,,
Cat,Occasional hairball vomit,No,,,,
Cat,Tremors,Lethargy,Bloody stool,Bloody vomit,Yes,
Cat,Minor weight loss,No,,,,
Cat,Opaque cornea,Yes,,,,
Cat,Noisy breathing,Pale gums,Yes,,,
Dog,Depression,High glucose,Paralysis,Yes,,
Cat,Increased scratching,Runny nose,No,,,
Dog,Increased thirst,Minor diarrhea,Dry eyes,No,,
Dog,Increased thirst,No,,,,
Dog,Anxiety,Tremors,Drooling,Excessive thirst,Yes,
Cat,Tremors,Coughing,Convulsions,Pale gums,Yes,
Dog,Panting,Vomiting,High glucose,Yes,,
Cat,Minor weight loss,Mild conjunctivitis,Increased scratching,No,,
Cat,Lethargy,Opaque cornea,Yes,,,
Cat,Mild conjunctivitis,No,,,,
Cat,Runny nose,Sneezing,Dry stool,Mild conjunctivitis,No,
Dog,Minor diarrhea,Bad breath,Dry eyes,Dry skin,Joint stiffness,No
Cat,Swollen eyes,Convulsions,Excess drooling,Noisy breathing,Foam at the mouth,Yes
Cat,Runny nose,No,,,,
Cat,Coughing,Opaque cornea,Yes,,,
Dog,Panting,Seizures,Depression,Yes,,
Dog,Glassy eyes,Yes,,,,
Cat,Dry stool,Sneezing,Mild conjunctivitis,No,,
Cat,Bloody vomit,Tremors,Excess drooling,Panting,Coughing,Yes
Cat,Tremors,Fast breathing,Yes,,,
Cat,Increased scratching,Occasional hairball vomit,Mild conjunctivitis,No,,
Cat,Noisy breathing,Yes,,,,
Dog,Dry skin,Minor diarrhea,Bad breath,No,,
Dog,Joint stiffness,Dry eyes,Dry skin,Increased thirst,No,
Dog,Joint stiffness,Bad breath,Dry skin,No,,
Dog,Fever,Yes,,,,
Cat,Increased scratching,No,,,,
Dog,Depression,Disorientation,Glassy eyes,Nausea,Yes,
Dog,Drooling,Paralysis,Nausea,Yes,,
Cat,Swollen eyes,Yes,,,,
Dog,High glucose,Vomiting,Anxiety,Panting,Weight loss,Yes
Cat,Pale gums,Yes,,,,
Dog,Minor diarrhea,Bad breath,Increased thirst,Dry skin,No,
Dog,Dry eyes,Bad breath,Joint stiffness,Minor diarrhea,Dry skin,No
Cat,Bloody stool,Convulsions,Panting,Bloody vomit,Swollen eyes,Yes
Cat,Bloody stool,Fast breathing,Yes,,,
Cat,Tremors,Swollen eyes,Panting,Excess drooling,Yes,
Cat,Convulsions,Tremors,Excess drooling,Yes,,
Dog,Fever,Glassy eyes,Drooling,Yes,,
Dog,Vomiting,Yes,,,,
Cat,Swollen eyes,Yes,,,,
Cat,Fast breathing,Yes,,,,
Cat,Fast breathing,Panting,Convulsions,Coughing,Tremors,Yes
Cat,Convulsions,Excess drooling,Foam at the mouth,Pale gums,Bloody stool,Yes
Cat,Sneezing,No,,,,
Cat,Coughing,Convulsions,Pale gums,Fast breathing,Yes,
Cat,Minor weight loss,Occasional hairball vomit,No,,,
Cat,Sneezing,Runny nose,No,,,
Dog,Depression,Vomiting,Weight loss,Yes,,
Dog,Dry eyes,Joint stiffness,Bad breath,Minor diarrhea,Increased thirst,No
Cat,Runny nose,Dry stool,Sneezing,Occasional hairball vomit,No,
Dog,Blood in vomit,Nausea,Anxiety,Drooling,Yes,
Dog,Dry eyes,Bad breath,Dry skin,Increased thirst,Minor diarrhea,No
Cat,Panting,Bloody vomit,Opaque cornea,Noisy breathing,Pale gums,Yes
Cat,Mild conjunctivitis,Increased scratching,No,,,
Dog,Joint stiffness,Minor diarrhea,Increased thirst,No,,
Dog,Blood in vomit,Paralysis,Vomiting,Yes,,
Cat,Increased scratching,Sneezing,No,,,
Cat,Dry stool,Sneezing,Increased scratching,No,,
Cat,Panting,Noisy breathing,Bloody stool,Swollen eyes,Yes,
Dog,Bad breath,Joint stiffness,Dry eyes,No,,
Dog,Seizures,Yes,,,,
Dog,Blood in vomit,Fever,Yes,,,
Cat,Noisy breathing,Panting,Fast breathing,Excess drooling,Lethargy,Yes
Cat,Sneezing,Dry stool,Increased scratching,No,,
Cat,Runny nose,Minor weight loss,No,,,
Dog,Dry eyes,Minor diarrhea,Dry skin,Joint stiffness,Increased thirst,No
Cat,Convulsions,Yes,,,,
Dog,Joint stiffness,No,,,,
Cat,Swollen eyes,Yes,,,,
Dog,Minor diarrhea,Dry skin,Joint stiffness,Bad breath,Dry eyes,No
Cat,Pale gums,Fast breathing,Bloody vomit,Yes,,
Dog,Anxiety,Weight loss,Fatigue,Depression,High glucose,Yes
Dog,Minor diarrhea,Dry skin,Bad breath,Increased thirst,No,
Cat,Foam at the mouth,Coughing,Opaque cornea,Swollen eyes,Yes,
Dog,Weight loss,Depression,Blood in vomit,Glassy eyes,Fever,Yes
Dog,Panting,Disorientation,Excessive thirst,Yes,,
Dog,Weight loss,Yes,,,,
Dog,Paralysis,Blood in vomit,Disorientation,Yes,,
Cat,Excess drooling,Yes,,,,
Cat,Tremors,Fast breathing,Yes,,,
Dog,High glucose,Yes,,,,
Cat,Coughing,Bloody vomit,Opaque cornea,Yes,,
Cat,Increased scratching,No,,,,
Dog,Vomiting,Drooling,Yes,,,
Cat,Dry stool,Sneezing,Increased scratching,Minor weight loss,Occasional hairball vomit,No
Cat,Excess drooling,Fast breathing,Yes,,,
Dog,Dry eyes,No,,,,
Cat,Lethargy,Yes,,,,
Dog,Joint stiffness,Dry skin,Dry eyes,Increased thirst,No,
Dog,Nausea,Seizures,Glassy eyes,Drooling,Fatigue,Yes
Cat,Fast breathing,Excess drooling,Yes,,,
Dog,Seizures,Disorientation,Yes,,,
Dog,High glucose,Yes,,,,
Cat,Opaque cornea,Lethargy,Yes,,,
Dog,Fever,Glassy eyes,Vomiting,Yes,,
Dog,Fever,Panting,Fatigue,Yes,,
Dog,Glassy eyes,Tremors,Anxiety,Vomiting,Yes,
Cat,Noisy breathing,Tremors,Yes,,,
Cat,Swollen eyes,Panting,Lethargy,Yes,,
Dog,Minor diarrhea,Bad breath,No,,,
Dog,Bad breath,Increased thirst,No,,,
Cat,Mild conjunctivitis,Minor weight loss,Occasional hairball vomit,Sneezing,Runny nose,No
Cat,Pale gums,Bloody stool,Lethargy,Yes,,
Cat,Pale gums,Bloody stool,Bloody vomit,Panting,Convulsions,Yes
Cat,Tremors,Panting,Coughing,Convulsions,Yes,
Cat,Bloody stool,Panting,Excess drooling,Yes,,
Dog,High glucose,Panting,Paralysis,Blood in vomit,Yes,
Dog,Panting,Fatigue,Yes,,,
Cat,Dry stool,Minor weight loss,Occasional hairball vomit,Sneezing,Runny nose,No
